branch,step,checkpoint,alpha,accuracy,family_power_share_non_dc,native_family_share,baseline_accuracy
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.549999952316284,0.9898191094398499,0.7634017175672281,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.5999999046325684,0.990445613861084,0.7684168117136558,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.6499998569488525,0.9910721182823181,0.773289527095505,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.700000047683716,0.9921685457229614,0.7780245317348954,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.75,0.993108332157135,0.7826262787304376,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.799999952316284,0.9934998750686646,0.7870991442107903,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.8499999046325684,0.9938914775848389,0.7914473391897517,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.8999998569488525,0.9942046999931335,0.7956749354967498,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.950000047683716,0.9946746230125427,0.7997858883160881,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.0,0.9949095249176025,0.8037839616847114,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.050000190734863,0.9951444864273071,0.8076728678216295,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.099999904632568,0.9957709908485413,0.8114561002634169,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.150000095367432,0.9957709908485413,0.8151371575173801,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.199999809265137,0.9958493113517761,0.8187192771932265,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.25,0.9960842728614807,0.8222057205869019,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.300000190734863,0.9963975548744202,0.8255995347568261,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.349999904632568,0.9967107772827148,0.8289036625370254,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.400000095367432,0.9969457387924194,0.8321210366020533,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.449999809265137,0.9970240592956543,0.835254364410347,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.5,0.9972589612007141,0.8383063771890331,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.550000190734863,0.9974156022071838,0.8412796220758625,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.599999904632568,0.9975722432136536,0.8441765584020795,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.650000095367432,0.9976505637168884,0.8469996403716724,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.699999809265137,0.9978072047233582,0.8497511285216939,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.75,0.9979638457298279,0.8524333082223144,0.20383842843265645,0.45845407247543335
