seed,pair,endpoint,step,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,tied_maximum_rows,positive_margin_rows,minimum_margin,mean_margin
3,seed3_adjacent_event,1,16308,heldout_donors_only,training,3830,2413,0.6300261096605744,0.6300261096605744,0,2413,-70.56335200631554,1.4071576445520146
3,seed3_adjacent_event,1,16308,heldout_donors_only,heldout,8939,5836,0.6528694484841705,0.6528694484841705,0,5836,-70.56335200631554,2.1372455604228526
3,seed3_adjacent_event,1,16308,heldout_donors_only,full_grid,12769,8249,0.6460176991150443,0.6460176991150443,0,8249,-70.56335200631554,1.918259209276693
3,seed3_adjacent_event,1,16308,heldout_donors_leave_one_out,training,3830,2413,0.6300261096605744,0.6300261096605744,0,2413,-70.56335200631554,1.4071576445520146
3,seed3_adjacent_event,1,16308,heldout_donors_leave_one_out,heldout,8939,5836,0.6528694484841705,0.6528694484841705,0,5836,-70.87333918521529,2.135008526762246
3,seed3_adjacent_event,1,16308,heldout_donors_leave_one_out,full_grid,12769,8249,0.6460176991150443,0.6460176991150443,0,8249,-70.87333918521529,1.916693163079484
4,adjacent_seed4,0,16055,raw,training,3830,3783,0.9877284595300261,0.9877284595300261,0,3783,-18.563340283428886,9.496310435930058
4,adjacent_seed4,0,16055,raw,heldout,8939,8165,0.9134131334601185,0.9134131334601185,0,8165,-24.253470235257907,6.262119330888317
4,adjacent_seed4,0,16055,raw,full_grid,12769,11948,0.9357036572950114,0.9357036572950114,0,11948,-24.253470235257907,7.232199363178228
4,adjacent_seed4,0,16055,complete_family_with_dc,training,3830,3767,0.9835509138381201,0.9835509138381201,0,3767,-16.253968010770336,7.432195873750324
4,adjacent_seed4,0,16055,complete_family_with_dc,heldout,8939,8776,0.981765298131782,0.981765298131782,0,8776,-16.253968010770336,7.217423737589642
4,adjacent_seed4,0,16055,complete_family_with_dc,full_grid,12769,12543,0.9823008849557522,0.9823008849557522,0,12543,-16.253968010770336,7.281843604571819
4,adjacent_seed4,0,16055,training_donors_only,training,3830,3794,0.9906005221932115,0.9906005221932115,0,3794,-14.61466412304452,9.54191360710224
4,adjacent_seed4,0,16055,training_donors_only,heldout,8939,8862,0.9913860610806577,0.9913860610806577,0,8862,-14.61466412304452,9.444581462590588
4,adjacent_seed4,0,16055,training_donors_only,full_grid,12769,12656,0.9911504424778761,0.9911504424778761,0,12656,-14.61466412304452,9.473775770169851
4,adjacent_seed4,0,16055,heldout_donors_only,training,3830,3767,0.9835509138381201,0.9835509138381201,0,3767,-17.020395802434223,6.5335501957067725
4,adjacent_seed4,0,16055,heldout_donors_only,heldout,8939,8776,0.981765298131782,0.981765298131782,0,8776,-17.020395802434223,6.313495007447797
4,adjacent_seed4,0,16055,heldout_donors_only,full_grid,12769,12543,0.9823008849557522,0.9823008849557522,0,12543,-17.020395802434223,6.37949950044113
4,adjacent_seed4,0,16055,heldout_donors_leave_one_out,training,3830,3767,0.9835509138381201,0.9835509138381201,0,3767,-17.020395802434223,6.5335501957067725
4,adjacent_seed4,0,16055,heldout_donors_leave_one_out,heldout,8939,8776,0.981765298131782,0.981765298131782,0,8776,-17.109384016843137,6.313495007447799
4,adjacent_seed4,0,16055,heldout_donors_leave_one_out,full_grid,12769,12543,0.9823008849557522,0.9823008849557522,0,12543,-17.109384016843137,6.379499500441132
4,adjacent_seed4,1,16056,raw,training,3830,2684,0.7007832898172324,0.7007832898172324,0,2684,-97.02143272953509,-2.381827422706436
4,adjacent_seed4,1,16056,raw,heldout,8939,5929,0.66327329678935,0.66327329678935,0,5929,-103.56003006702389,-5.166966694894218
4,adjacent_seed4,1,16056,raw,full_grid,12769,8613,0.6745242383898504,0.6745242383898504,0,8613,-103.56003006702389,-4.331577595318746
4,adjacent_seed4,1,16056,complete_family_with_dc,training,3830,2671,0.6973890339425588,0.6973890339425588,0,2671,-90.78619665513975,-2.2999580837174847
4,adjacent_seed4,1,16056,complete_family_with_dc,heldout,8939,6369,0.712495804899877,0.712495804899877,0,6369,-90.78619665513975,-2.0482359337057856
4,adjacent_seed4,1,16056,complete_family_with_dc,full_grid,12769,9040,0.7079646017699115,0.7079646017699115,0,9040,-90.78619665513975,-2.1237387792336118
4,adjacent_seed4,1,16056,training_donors_only,training,3830,2697,0.704177545691906,0.704177545691906,0,2697,-90.16681055559184,-0.3663595635866665
4,adjacent_seed4,1,16056,training_donors_only,heldout,8939,6456,0.7222284371853674,0.7222284371853674,0,6456,-90.16681055559184,-0.006913727029165109
4,adjacent_seed4,1,16056,training_donors_only,full_grid,12769,9153,0.7168141592920354,0.7168141592920354,0,9153,-90.16681055559184,-0.11472777307938284
4,adjacent_seed4,1,16056,heldout_donors_only,training,3830,2671,0.6973890339425588,0.6973890339425588,0,2671,-90.9902297232266,-3.1606607390977612
4,adjacent_seed4,1,16056,heldout_donors_only,heldout,8939,6369,0.712495804899877,0.712495804899877,0,6369,-90.9902297232266,-2.9127446726756587
4,adjacent_seed4,1,16056,heldout_donors_only,full_grid,12769,9040,0.7079646017699115,0.7079646017699115,0,9040,-90.9902297232266,-2.9871059017771273
4,adjacent_seed4,1,16056,heldout_donors_leave_one_out,training,3830,2671,0.6973890339425588,0.6973890339425588,0,2671,-90.9902297232266,-3.1606607390977612
4,adjacent_seed4,1,16056,heldout_donors_leave_one_out,heldout,8939,6369,0.712495804899877,0.712495804899877,0,6369,-91.11515621601495,-2.912904808630896
4,adjacent_seed4,1,16056,heldout_donors_leave_one_out,full_grid,12769,9040,0.7079646017699115,0.7079646017699115,0,9040,-91.11515621601495,-2.9872180057244897
